point_id,x,y,transformation,x_transformed,y_transformed,squared_distance_before,squared_distance_after,distance_preserved,interpretation
A,0.0,0.0,rotate_90,-0.0,0.0,0.0,0.0,True,isometries preserve distance; scaling changes distance unless scale is unit
A,0.0,0.0,reflect_x,0.0,-0.0,0.0,0.0,True,isometries preserve distance; scaling changes distance unless scale is unit
A,0.0,0.0,scale_2,0.0,0.0,0.0,0.0,True,isometries preserve distance; scaling changes distance unless scale is unit
B,4.0,0.0,rotate_90,-0.0,4.0,16.0,16.0,True,isometries preserve distance; scaling changes distance unless scale is unit
B,4.0,0.0,reflect_x,4.0,-0.0,16.0,16.0,True,isometries preserve distance; scaling changes distance unless scale is unit
B,4.0,0.0,scale_2,8.0,0.0,16.0,64.0,False,isometries preserve distance; scaling changes distance unless scale is unit
C,0.0,3.0,rotate_90,-3.0,0.0,9.0,9.0,True,isometries preserve distance; scaling changes distance unless scale is unit
C,0.0,3.0,reflect_x,0.0,-3.0,9.0,9.0,True,isometries preserve distance; scaling changes distance unless scale is unit
C,0.0,3.0,scale_2,0.0,6.0,9.0,36.0,False,isometries preserve distance; scaling changes distance unless scale is unit
D,1.0,1.0,rotate_90,-1.0,1.0,2.0,2.0,True,isometries preserve distance; scaling changes distance unless scale is unit
D,1.0,1.0,reflect_x,1.0,-1.0,2.0,2.0,True,isometries preserve distance; scaling changes distance unless scale is unit
D,1.0,1.0,scale_2,2.0,2.0,2.0,8.0,False,isometries preserve distance; scaling changes distance unless scale is unit
E,-1.0,1.0,rotate_90,-1.0,-1.0,2.0,2.0,True,isometries preserve distance; scaling changes distance unless scale is unit
E,-1.0,1.0,reflect_x,-1.0,-1.0,2.0,2.0,True,isometries preserve distance; scaling changes distance unless scale is unit
E,-1.0,1.0,scale_2,-2.0,2.0,2.0,8.0,False,isometries preserve distance; scaling changes distance unless scale is unit
F,0.6,0.8,rotate_90,-0.8,0.6,1.0,1.0,True,isometries preserve distance; scaling changes distance unless scale is unit
F,0.6,0.8,reflect_x,0.6,-0.8,1.0,1.0,True,isometries preserve distance; scaling changes distance unless scale is unit
F,0.6,0.8,scale_2,1.2,1.6,1.0,4.0,False,isometries preserve distance; scaling changes distance unless scale is unit
G,0.5,0.5,rotate_90,-0.5,0.5,0.5,0.5,True,isometries preserve distance; scaling changes distance unless scale is unit
G,0.5,0.5,reflect_x,0.5,-0.5,0.5,0.5,True,isometries preserve distance; scaling changes distance unless scale is unit
G,0.5,0.5,scale_2,1.0,1.0,0.5,2.0,False,isometries preserve distance; scaling changes distance unless scale is unit
