index,value,bounded,convergence_note
0,1,True,alternating sequence remains bounded but does not converge
1,-1,True,alternating sequence remains bounded but does not converge
2,1,True,alternating sequence remains bounded but does not converge
3,-1,True,alternating sequence remains bounded but does not converge
4,1,True,alternating sequence remains bounded but does not converge
5,-1,True,alternating sequence remains bounded but does not converge
6,1,True,alternating sequence remains bounded but does not converge
7,-1,True,alternating sequence remains bounded but does not converge
8,1,True,alternating sequence remains bounded but does not converge
9,-1,True,alternating sequence remains bounded but does not converge
10,1,True,alternating sequence remains bounded but does not converge
11,-1,True,alternating sequence remains bounded but does not converge
12,1,True,alternating sequence remains bounded but does not converge
13,-1,True,alternating sequence remains bounded but does not converge
14,1,True,alternating sequence remains bounded but does not converge
15,-1,True,alternating sequence remains bounded but does not converge
16,1,True,alternating sequence remains bounded but does not converge
17,-1,True,alternating sequence remains bounded but does not converge
18,1,True,alternating sequence remains bounded but does not converge
19,-1,True,alternating sequence remains bounded but does not converge
20,1,True,alternating sequence remains bounded but does not converge
21,-1,True,alternating sequence remains bounded but does not converge
22,1,True,alternating sequence remains bounded but does not converge
23,-1,True,alternating sequence remains bounded but does not converge
24,1,True,alternating sequence remains bounded but does not converge
25,-1,True,alternating sequence remains bounded but does not converge
26,1,True,alternating sequence remains bounded but does not converge
27,-1,True,alternating sequence remains bounded but does not converge
28,1,True,alternating sequence remains bounded but does not converge
29,-1,True,alternating sequence remains bounded but does not converge
30,1,True,alternating sequence remains bounded but does not converge
31,-1,True,alternating sequence remains bounded but does not converge
32,1,True,alternating sequence remains bounded but does not converge
33,-1,True,alternating sequence remains bounded but does not converge
34,1,True,alternating sequence remains bounded but does not converge
35,-1,True,alternating sequence remains bounded but does not converge
36,1,True,alternating sequence remains bounded but does not converge
37,-1,True,alternating sequence remains bounded but does not converge
38,1,True,alternating sequence remains bounded but does not converge
39,-1,True,alternating sequence remains bounded but does not converge
40,1,True,alternating sequence remains bounded but does not converge
41,-1,True,alternating sequence remains bounded but does not converge
42,1,True,alternating sequence remains bounded but does not converge
43,-1,True,alternating sequence remains bounded but does not converge
44,1,True,alternating sequence remains bounded but does not converge
45,-1,True,alternating sequence remains bounded but does not converge
46,1,True,alternating sequence remains bounded but does not converge
47,-1,True,alternating sequence remains bounded but does not converge
48,1,True,alternating sequence remains bounded but does not converge
49,-1,True,alternating sequence remains bounded but does not converge
