audit_id,input_value,computed_value,expected_or_property,agrees,evidence_status,proof_note
even_square,-100,10000,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-99,9801,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-98,9604,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-97,9409,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-96,9216,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-95,9025,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-94,8836,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-93,8649,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-92,8464,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-91,8281,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-90,8100,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-89,7921,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-88,7744,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-87,7569,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-86,7396,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-85,7225,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-84,7056,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-83,6889,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-82,6724,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-81,6561,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-80,6400,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-79,6241,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-78,6084,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-77,5929,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-76,5776,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-75,5625,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-74,5476,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-73,5329,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-72,5184,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-71,5041,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-70,4900,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-69,4761,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-68,4624,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-67,4489,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-66,4356,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-65,4225,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-64,4096,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-63,3969,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-62,3844,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-61,3721,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-60,3600,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-59,3481,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-58,3364,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
even_square,-57,3249,if n even then n^2 even,True,finite evidence,direct proof handles arbitrary integer n
