relation_id,source,target,relation_type,interpretation
rel_double,1,2,function_graph,"doubling maps input to output"
rel_double,2,4,function_graph,"doubling maps input to output"
rel_double,3,6,function_graph,"doubling maps input to output"
rel_double,4,8,function_graph,"doubling maps input to output"
rel_mod2,1,1,equivalence,"same parity"
rel_mod2,1,3,equivalence,"same parity"
rel_mod2,2,2,equivalence,"same parity"
rel_mod2,2,4,equivalence,"same parity"
rel_mod2,3,1,equivalence,"same parity"
rel_mod2,3,3,equivalence,"same parity"
rel_mod2,4,2,equivalence,"same parity"
rel_mod2,4,4,equivalence,"same parity"
rel_divides,1,1,partial_order,"divisibility"
rel_divides,1,2,partial_order,"divisibility"
rel_divides,1,3,partial_order,"divisibility"
rel_divides,1,4,partial_order,"divisibility"
rel_divides,1,6,partial_order,"divisibility"
rel_divides,1,12,partial_order,"divisibility"
rel_divides,2,2,partial_order,"divisibility"
rel_divides,2,4,partial_order,"divisibility"
rel_divides,2,6,partial_order,"divisibility"
rel_divides,2,12,partial_order,"divisibility"
rel_divides,3,3,partial_order,"divisibility"
rel_divides,3,6,partial_order,"divisibility"
rel_divides,3,12,partial_order,"divisibility"
rel_divides,4,4,partial_order,"divisibility"
rel_divides,4,12,partial_order,"divisibility"
rel_divides,6,6,partial_order,"divisibility"
rel_divides,6,12,partial_order,"divisibility"
rel_divides,12,12,partial_order,"divisibility"
rel_not_function,1,2,multivalued_relation,"one input maps to multiple outputs"
rel_not_function,1,3,multivalued_relation,"one input maps to multiple outputs"
rel_not_function,2,4,multivalued_relation,"one input maps to one output"
