n,premise_even,conclusion_square_even,implication_holds,interpretation
-50,True,True,True,finite audit supports but does not replace proof for arbitrary n
-49,False,False,True,finite audit supports but does not replace proof for arbitrary n
-48,True,True,True,finite audit supports but does not replace proof for arbitrary n
-47,False,False,True,finite audit supports but does not replace proof for arbitrary n
-46,True,True,True,finite audit supports but does not replace proof for arbitrary n
-45,False,False,True,finite audit supports but does not replace proof for arbitrary n
-44,True,True,True,finite audit supports but does not replace proof for arbitrary n
-43,False,False,True,finite audit supports but does not replace proof for arbitrary n
-42,True,True,True,finite audit supports but does not replace proof for arbitrary n
-41,False,False,True,finite audit supports but does not replace proof for arbitrary n
-40,True,True,True,finite audit supports but does not replace proof for arbitrary n
-39,False,False,True,finite audit supports but does not replace proof for arbitrary n
-38,True,True,True,finite audit supports but does not replace proof for arbitrary n
-37,False,False,True,finite audit supports but does not replace proof for arbitrary n
-36,True,True,True,finite audit supports but does not replace proof for arbitrary n
-35,False,False,True,finite audit supports but does not replace proof for arbitrary n
-34,True,True,True,finite audit supports but does not replace proof for arbitrary n
-33,False,False,True,finite audit supports but does not replace proof for arbitrary n
-32,True,True,True,finite audit supports but does not replace proof for arbitrary n
-31,False,False,True,finite audit supports but does not replace proof for arbitrary n
-30,True,True,True,finite audit supports but does not replace proof for arbitrary n
-29,False,False,True,finite audit supports but does not replace proof for arbitrary n
-28,True,True,True,finite audit supports but does not replace proof for arbitrary n
-27,False,False,True,finite audit supports but does not replace proof for arbitrary n
-26,True,True,True,finite audit supports but does not replace proof for arbitrary n
-25,False,False,True,finite audit supports but does not replace proof for arbitrary n
-24,True,True,True,finite audit supports but does not replace proof for arbitrary n
-23,False,False,True,finite audit supports but does not replace proof for arbitrary n
-22,True,True,True,finite audit supports but does not replace proof for arbitrary n
-21,False,False,True,finite audit supports but does not replace proof for arbitrary n
-20,True,True,True,finite audit supports but does not replace proof for arbitrary n
-19,False,False,True,finite audit supports but does not replace proof for arbitrary n
-18,True,True,True,finite audit supports but does not replace proof for arbitrary n
-17,False,False,True,finite audit supports but does not replace proof for arbitrary n
-16,True,True,True,finite audit supports but does not replace proof for arbitrary n
-15,False,False,True,finite audit supports but does not replace proof for arbitrary n
-14,True,True,True,finite audit supports but does not replace proof for arbitrary n
-13,False,False,True,finite audit supports but does not replace proof for arbitrary n
-12,True,True,True,finite audit supports but does not replace proof for arbitrary n
-11,False,False,True,finite audit supports but does not replace proof for arbitrary n
-10,True,True,True,finite audit supports but does not replace proof for arbitrary n
-9,False,False,True,finite audit supports but does not replace proof for arbitrary n
-8,True,True,True,finite audit supports but does not replace proof for arbitrary n
-7,False,False,True,finite audit supports but does not replace proof for arbitrary n
-6,True,True,True,finite audit supports but does not replace proof for arbitrary n
-5,False,False,True,finite audit supports but does not replace proof for arbitrary n
-4,True,True,True,finite audit supports but does not replace proof for arbitrary n
-3,False,False,True,finite audit supports but does not replace proof for arbitrary n
-2,True,True,True,finite audit supports but does not replace proof for arbitrary n
-1,False,False,True,finite audit supports but does not replace proof for arbitrary n
0,True,True,True,finite audit supports but does not replace proof for arbitrary n
1,False,False,True,finite audit supports but does not replace proof for arbitrary n
2,True,True,True,finite audit supports but does not replace proof for arbitrary n
3,False,False,True,finite audit supports but does not replace proof for arbitrary n
4,True,True,True,finite audit supports but does not replace proof for arbitrary n
5,False,False,True,finite audit supports but does not replace proof for arbitrary n
6,True,True,True,finite audit supports but does not replace proof for arbitrary n
7,False,False,True,finite audit supports but does not replace proof for arbitrary n
8,True,True,True,finite audit supports but does not replace proof for arbitrary n
9,False,False,True,finite audit supports but does not replace proof for arbitrary n
10,True,True,True,finite audit supports but does not replace proof for arbitrary n
11,False,False,True,finite audit supports but does not replace proof for arbitrary n
12,True,True,True,finite audit supports but does not replace proof for arbitrary n
13,False,False,True,finite audit supports but does not replace proof for arbitrary n
14,True,True,True,finite audit supports but does not replace proof for arbitrary n
15,False,False,True,finite audit supports but does not replace proof for arbitrary n
16,True,True,True,finite audit supports but does not replace proof for arbitrary n
17,False,False,True,finite audit supports but does not replace proof for arbitrary n
18,True,True,True,finite audit supports but does not replace proof for arbitrary n
19,False,False,True,finite audit supports but does not replace proof for arbitrary n
20,True,True,True,finite audit supports but does not replace proof for arbitrary n
21,False,False,True,finite audit supports but does not replace proof for arbitrary n
22,True,True,True,finite audit supports but does not replace proof for arbitrary n
23,False,False,True,finite audit supports but does not replace proof for arbitrary n
24,True,True,True,finite audit supports but does not replace proof for arbitrary n
25,False,False,True,finite audit supports but does not replace proof for arbitrary n
26,True,True,True,finite audit supports but does not replace proof for arbitrary n
27,False,False,True,finite audit supports but does not replace proof for arbitrary n
28,True,True,True,finite audit supports but does not replace proof for arbitrary n
29,False,False,True,finite audit supports but does not replace proof for arbitrary n
30,True,True,True,finite audit supports but does not replace proof for arbitrary n
31,False,False,True,finite audit supports but does not replace proof for arbitrary n
32,True,True,True,finite audit supports but does not replace proof for arbitrary n
33,False,False,True,finite audit supports but does not replace proof for arbitrary n
34,True,True,True,finite audit supports but does not replace proof for arbitrary n
35,False,False,True,finite audit supports but does not replace proof for arbitrary n
36,True,True,True,finite audit supports but does not replace proof for arbitrary n
37,False,False,True,finite audit supports but does not replace proof for arbitrary n
38,True,True,True,finite audit supports but does not replace proof for arbitrary n
39,False,False,True,finite audit supports but does not replace proof for arbitrary n
40,True,True,True,finite audit supports but does not replace proof for arbitrary n
41,False,False,True,finite audit supports but does not replace proof for arbitrary n
42,True,True,True,finite audit supports but does not replace proof for arbitrary n
43,False,False,True,finite audit supports but does not replace proof for arbitrary n
44,True,True,True,finite audit supports but does not replace proof for arbitrary n
45,False,False,True,finite audit supports but does not replace proof for arbitrary n
46,True,True,True,finite audit supports but does not replace proof for arbitrary n
47,False,False,True,finite audit supports but does not replace proof for arbitrary n
48,True,True,True,finite audit supports but does not replace proof for arbitrary n
49,False,False,True,finite audit supports but does not replace proof for arbitrary n
50,True,True,True,finite audit supports but does not replace proof for arbitrary n
