model_id,step,state_value,update_rule,risk_note,interpretation
model_decay,0,100.0,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,0,1.0,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,0,0.25,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,1,85.0,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,1,1.7,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,1,0.96891242,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,2,72.25,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,2,2.54,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,2,0.56619632,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,3,61.4125,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,3,3.548,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,3,0.84394747,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,4,52.200625,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,4,4.7576,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,4,0.66451818,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,5,44.37053125,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,5,6.20912,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,5,0.787214,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,6,37.71495156,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,6,7.950944,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,6,0.70582162,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,7,32.05770883,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,7,10.0411328,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,7,0.76107886,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,8,27.2490525,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,8,12.54935936,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,8,0.72409234,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,9,23.16169463,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,9,15.55923123,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,9,0.74910101,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,10,19.68744043,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,10,19.17107748,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,10,0.73230136,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,11,16.73432437,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,11,23.50529297,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,11,0.74363773,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,12,14.22417571,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,12,28.70635157,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,12,0.7360108,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,13,12.09054936,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,13,34.94762188,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,13,0.74115254,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,14,10.27696695,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,14,42.43714626,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,14,0.73769092,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
model_decay,15,8.73542191,x_next=0.85*x,rounding and model-form assumptions,recursive state update with decreasing trajectory
model_feedback,15,51.42457551,x_next=1.2*x+0.5,reinforcing loop can amplify values,recursive feedback can produce rapid amplification
model_iteration,15,0.74002357,x_next=cos(x),convergence depends on update rule and starting point,fixed-point iteration as recursive update
