sequence_id,index,value,mod_2,mod_3,first_difference
seq_odd_sum_squares,0,1,1,1,
seq_odd_sum_squares,1,4,0,1,3
seq_odd_sum_squares,2,9,1,0,5
seq_odd_sum_squares,3,16,0,1,7
seq_odd_sum_squares,4,25,1,1,9
seq_odd_sum_squares,5,36,0,0,11
seq_odd_sum_squares,6,49,1,1,13
seq_triangular,0,1,1,1,
seq_triangular,1,3,1,0,2
seq_triangular,2,6,0,0,3
seq_triangular,3,10,0,1,4
seq_triangular,4,15,1,0,5
seq_triangular,5,21,1,0,6
seq_triangular,6,28,0,1,7
seq_fibonacci,0,0,0,0,
seq_fibonacci,1,1,1,1,1
seq_fibonacci,2,1,1,1,0
seq_fibonacci,3,2,0,2,1
seq_fibonacci,4,3,1,0,1
seq_fibonacci,5,5,1,2,2
seq_fibonacci,6,8,0,2,3
seq_fibonacci,7,13,1,1,5
seq_powers_two,0,1,1,1,
seq_powers_two,1,2,0,2,1
seq_powers_two,2,4,0,1,2
seq_powers_two,3,8,0,2,4
seq_powers_two,4,16,0,1,8
seq_powers_two,5,32,0,2,16
seq_powers_two,6,64,0,1,32
seq_alternating,0,1,1,1,
seq_alternating,1,-1,1,2,-2
seq_alternating,2,1,1,1,2
seq_alternating,3,-1,1,2,-2
seq_alternating,4,1,1,1,2
seq_alternating,5,-1,1,2,-2
seq_alternating,6,1,1,1,2
