milestone_id,period_name,approximate_range,tradition_name,thinking_mode,contribution,representation_form,long_term_significance,responsible_interpretation_note
ms_mesopotamian_tables,Antiquity,early recorded mathematics to c. 500 CE,Mesopotamian scribal mathematics,Procedural,"sexagesimal place-value computation, reciprocal tables, worked problem forms",clay tablets and numerical tables,reliable calculation through trained procedural systems,modern algebraic reconstruction should not be confused with original notation
ms_egyptian_measurement,Antiquity,early recorded mathematics to c. 500 CE,Egyptian mathematical papyri,Procedural,"fraction methods, area and volume rules, administrative arithmetic",papyrus problem texts,"mathematics as measurement, distribution, and practical record",surviving texts are partial and practical rather than a full theory archive
ms_greek_deduction,Classical deductive traditions,c. 600 BCE to c. 300 CE,Greek deductive mathematics,Deductive,axiomatic geometry and proposition-proof architecture,"definitions, postulates, diagrams, proofs",proof becomes a central mathematical ideal,deductive proof should not be treated as the only form of mathematical thinking
ms_archimedean_exhaustion,Classical deductive traditions,c. 600 BCE to c. 300 CE,Greek deductive mathematics,Analytic,"method of exhaustion, geometric bounds, areas and volumes",geometric diagrams and bounding arguments,early rigorous limiting reasoning,do not collapse ancient exhaustion into modern epsilon-delta analysis
ms_indian_place_value,Classical to medieval global traditions,c. 200 CE to c. 1500 CE,Indian mathematical astronomy and arithmetic,Algebraic,"zero, decimal place value, algorithmic arithmetic, astronomy, trigonometry","numerals, rules, tables, verse, commentary",scalable arithmetic and algorithmic calculation,recognize both computational power and distinct genres of justification
ms_chinese_systems,Classical to medieval global traditions,c. 200 CE to c. 1500 CE,Chinese procedural and configurational mathematics,Procedural,"linear systems, rod calculation, dissection, configurational reasoning","counting rods, tables, diagrams, commentary",systemic and algorithmic mathematical reasoning,procedural verification should not be dismissed as mere calculation
ms_islamic_algebra,Medieval mathematical cultures,c. 500 CE to c. 1500 CE,"Islamic algebraic, geometric, and astronomical synthesis",Algebraic,"algebra, trigonometry, equation classification, translation, astronomy","manuscripts, equation types, tables, geometric justification",global synthesis and transformation of algebraic and geometric reasoning,transmission was an active intellectual achievement
ms_renaissance_symbol,Renaissance mathematics,c. 1400 CE to c. 1650 CE,Early modern and modern European mathematics,Algebraic,"symbolic notation, cossic algebra, perspective, technical mathematics","printed books, symbols, diagrams",portable symbolic methods and technical applications,print standardizes but also filters mathematical authority
ms_calculus_coordinates,Early modern mathematics,c. 1600 CE to c. 1800 CE,Early modern and modern European mathematics,Analytic,"analytic geometry, calculus, mechanics, probability","coordinates, equations, functions, differentials, integrals",mathematics becomes a language of natural science and change,mathematical models require interpretation and assumptions
ms_nineteenth_rigor,Nineteenth-century rigor and foundations,c. 1800 CE to c. 1900 CE,Early modern and modern European mathematics,Analytic,"epsilon-delta rigor, real numbers, functions, convergence, infinity","quantifiers, inequalities, sets, functions",definitions and rigor reshape mathematical standards,"rigor is historically developed, not timelessly fixed"
ms_non_euclidean,Nineteenth-century rigor and foundations,c. 1800 CE to c. 1900 CE,Early modern and modern European mathematics,Structural,non-Euclidean geometry and alternative axiom systems,"axioms, models, geometric systems",axioms become structural assumptions,mathematical truth becomes conditional on systems
ms_foundations_logic,Twentieth-century structure and computation,c. 1900 CE to c. 2000 CE,International modern mathematics,Formal-verified,"set theory, symbolic logic, formal systems, incompleteness, computability","formal languages, axioms, proof systems, algorithms",mathematics studies proof and computation themselves,"truth, proof, consistency, and computability must be distinguished"
ms_structural_modern,Twentieth-century structure and computation,c. 1900 CE to c. 2000 CE,International modern mathematics,Structural,"groups, rings, fields, topology, functional analysis, categories, graphs","structures, morphisms, spaces, operations, diagrams",mathematics becomes the study of structure,abstraction should remain connected to examples and access
ms_computer_age,Twentieth-century structure and computation,c. 1900 CE to c. 2000 CE,International modern mathematics,Computational,"algorithms, complexity, simulation, numerical methods, computer algebra","programs, data structures, algorithms, matrices, graphs",mathematics becomes computational and executable,computation is evidence and exploration but not automatically proof or wisdom
ms_proof_assistants,Contemporary computational and formal mathematics,c. 2000 CE to present,International modern mathematics,Formal-verified,"proof assistants, formal verification, machine-checked libraries","proof scripts, formal libraries, certificates",proof becomes a computational artifact,"formal verification depends on human definitions, specifications, and interpretation"
