n,log2_n,linear_n,n_log2_n,quadratic_n2,exponential_2n,interpretation
1,0.0,1,0.0,1,2,growth rate shapes scalability and feasibility
2,1.0,2,2.0,4,4,growth rate shapes scalability and feasibility
3,1.584963,3,4.754888,9,8,growth rate shapes scalability and feasibility
4,2.0,4,8.0,16,16,growth rate shapes scalability and feasibility
5,2.321928,5,11.60964,25,32,growth rate shapes scalability and feasibility
6,2.584963,6,15.509775,36,64,growth rate shapes scalability and feasibility
7,2.807355,7,19.651484,49,128,growth rate shapes scalability and feasibility
8,3.0,8,24.0,64,256,growth rate shapes scalability and feasibility
9,3.169925,9,28.529325,81,512,growth rate shapes scalability and feasibility
10,3.321928,10,33.219281,100,1024,growth rate shapes scalability and feasibility
11,3.459432,11,38.053748,121,2048,growth rate shapes scalability and feasibility
12,3.584963,12,43.01955,144,4096,growth rate shapes scalability and feasibility
13,3.70044,13,48.105716,169,8192,growth rate shapes scalability and feasibility
14,3.807355,14,53.302969,196,16384,growth rate shapes scalability and feasibility
15,3.906891,15,58.603359,225,32768,growth rate shapes scalability and feasibility
16,4.0,16,64.0,256,65536,growth rate shapes scalability and feasibility
17,4.087463,17,69.486868,289,131072,growth rate shapes scalability and feasibility
18,4.169925,18,75.05865,324,262144,growth rate shapes scalability and feasibility
19,4.247928,19,80.710623,361,524288,growth rate shapes scalability and feasibility
20,4.321928,20,86.438562,400,1048576,growth rate shapes scalability and feasibility
21,4.392317,21,92.238666,441,2097152,growth rate shapes scalability and feasibility
22,4.459432,22,98.107496,484,4194304,growth rate shapes scalability and feasibility
23,4.523562,23,104.041925,529,8388608,growth rate shapes scalability and feasibility
24,4.584963,24,110.0391,576,16777216,growth rate shapes scalability and feasibility
25,4.643856,25,116.096405,625,33554432,growth rate shapes scalability and feasibility
26,4.70044,26,122.211433,676,67108864,growth rate shapes scalability and feasibility
27,4.754888,27,128.381963,729,134217728,growth rate shapes scalability and feasibility
28,4.807355,28,134.605938,784,268435456,growth rate shapes scalability and feasibility
29,4.857981,29,140.881449,841,536870912,growth rate shapes scalability and feasibility
30,4.906891,30,147.206718,900,1073741824,growth rate shapes scalability and feasibility
