n,mod_7,mod_10,mod_97,interpretation
0,0,0,0,modular arithmetic maps values into finite residue classes
1,1,1,1,modular arithmetic maps values into finite residue classes
2,2,2,2,modular arithmetic maps values into finite residue classes
3,3,3,3,modular arithmetic maps values into finite residue classes
4,4,4,4,modular arithmetic maps values into finite residue classes
5,5,5,5,modular arithmetic maps values into finite residue classes
6,6,6,6,modular arithmetic maps values into finite residue classes
7,0,7,7,modular arithmetic maps values into finite residue classes
8,1,8,8,modular arithmetic maps values into finite residue classes
9,2,9,9,modular arithmetic maps values into finite residue classes
10,3,0,10,modular arithmetic maps values into finite residue classes
11,4,1,11,modular arithmetic maps values into finite residue classes
12,5,2,12,modular arithmetic maps values into finite residue classes
13,6,3,13,modular arithmetic maps values into finite residue classes
14,0,4,14,modular arithmetic maps values into finite residue classes
15,1,5,15,modular arithmetic maps values into finite residue classes
16,2,6,16,modular arithmetic maps values into finite residue classes
17,3,7,17,modular arithmetic maps values into finite residue classes
18,4,8,18,modular arithmetic maps values into finite residue classes
19,5,9,19,modular arithmetic maps values into finite residue classes
20,6,0,20,modular arithmetic maps values into finite residue classes
21,0,1,21,modular arithmetic maps values into finite residue classes
22,1,2,22,modular arithmetic maps values into finite residue classes
23,2,3,23,modular arithmetic maps values into finite residue classes
24,3,4,24,modular arithmetic maps values into finite residue classes
25,4,5,25,modular arithmetic maps values into finite residue classes
26,5,6,26,modular arithmetic maps values into finite residue classes
27,6,7,27,modular arithmetic maps values into finite residue classes
28,0,8,28,modular arithmetic maps values into finite residue classes
29,1,9,29,modular arithmetic maps values into finite residue classes
30,2,0,30,modular arithmetic maps values into finite residue classes
31,3,1,31,modular arithmetic maps values into finite residue classes
32,4,2,32,modular arithmetic maps values into finite residue classes
33,5,3,33,modular arithmetic maps values into finite residue classes
34,6,4,34,modular arithmetic maps values into finite residue classes
35,0,5,35,modular arithmetic maps values into finite residue classes
36,1,6,36,modular arithmetic maps values into finite residue classes
37,2,7,37,modular arithmetic maps values into finite residue classes
38,3,8,38,modular arithmetic maps values into finite residue classes
39,4,9,39,modular arithmetic maps values into finite residue classes
40,5,0,40,modular arithmetic maps values into finite residue classes
41,6,1,41,modular arithmetic maps values into finite residue classes
42,0,2,42,modular arithmetic maps values into finite residue classes
43,1,3,43,modular arithmetic maps values into finite residue classes
44,2,4,44,modular arithmetic maps values into finite residue classes
45,3,5,45,modular arithmetic maps values into finite residue classes
46,4,6,46,modular arithmetic maps values into finite residue classes
47,5,7,47,modular arithmetic maps values into finite residue classes
48,6,8,48,modular arithmetic maps values into finite residue classes
49,0,9,49,modular arithmetic maps values into finite residue classes
50,1,0,50,modular arithmetic maps values into finite residue classes
