milestone_id,figure_or_text,approximate_period,tradition_name,region_or_language_context,proof_style,contribution,proof_historical_significance
ms_babylonian,Babylonian mathematical tablets,second millennium BCE,Mesopotamian scribal mathematics,Akkadian/Sumerian cuneiform context,Procedural,worked numerical procedures and quadratic problem forms,advanced rule-based mathematics before axiomatic proof
ms_rhind,Rhind Mathematical Papyrus,c. 1650 BCE copy of older material,Egyptian mathematical papyri,hieratic papyrus context,Procedural,"arithmetic, fractions, measurement, practical problems",procedural authority and scribal mathematical training
ms_euclid,"Euclid, Elements",c. 300 BCE,Greek deductive geometry,Greek-language mathematical texts,Deductive,axiomatic organization of geometry,canonical model of proposition-proof architecture
ms_archimedes,Archimedes,third century BCE,Greek deductive geometry,Greek-language mathematical texts,Diagrammatic,method of exhaustion and rigorous geometric bounds,early limiting reasoning and geometric rigor
ms_liu_hui,Liu Hui commentary on The Nine Chapters,third century CE,Chinese mathematical commentary and procedure,Chinese textual and rod-calculation contexts,Procedural,"procedure, dissection, and configurational explanation",verification through transformation and commentary
ms_al_khwarizmi,al-Khwarizmi algebraic works,ninth century CE,Islamic algebraic and geometric synthesis,"Arabic, Persian, and multilingual scholarly contexts",Algebraic,systematic equation-solving procedures,algebraic method tied to geometric and procedural justification
ms_madhava,Kerala school series traditions,fourteenth to sixteenth centuries,Indian mathematical astronomy and algorithmic traditions,Sanskrit and related scholarly contexts,Analytic,"infinite series, trigonometric approximation, astronomical computation",advanced reasoning about approximation and infinite processes
ms_cauchy_weierstrass,Cauchy and Weierstrass,nineteenth century,Nineteenth-century rigorous analysis,European professional mathematics,Analytic,rigorization of limits and continuity,precise quantified foundations for analysis
ms_non_euclidean,Non-Euclidean geometry,nineteenth century,Foundations and mathematical logic,international mathematical logic,Deductive,alternative consistent geometries,axioms become structural assumptions rather than obvious spatial truths
ms_godel,Gödel incompleteness theorems,1931,Foundations and mathematical logic,international mathematical logic,Formal-logical,limits of formal provability in sufficiently strong systems,"distinguished truth, consistency, and formal derivability"
ms_four_color,Four Color Theorem computer-assisted proof,1976 and later refinements,Computer-assisted and machine-checked proof,global computational proof communities,Machine-checked,large finite case verification by computer,challenged human-inspection norms of proof
ms_proof_assistants,"Coq, Lean, Isabelle, HOL systems",late twentieth century to present,Computer-assisted and machine-checked proof,global computational proof communities,Machine-checked,machine-checked formal proof scripts,proof becomes formal artifact checked by computational kernel
