experiment_id,trial,successes,observed_frequency,expected_probability,interpretation
prob_coin_100,10,4,0.4,0.5,finite frequency may deviate from expected value
prob_coin_100,25,13,0.52,0.5,finite frequency may deviate from expected value
prob_coin_100,50,27,0.54,0.5,finite frequency may deviate from expected value
prob_coin_100,100,59,0.59,0.5,finite frequency may deviate from expected value
prob_coin_1000,10,5,0.5,0.5,larger samples usually stabilize frequency
prob_coin_1000,25,13,0.52,0.5,larger samples usually stabilize frequency
prob_coin_1000,50,21,0.42,0.5,larger samples usually stabilize frequency
prob_coin_1000,100,49,0.49,0.5,larger samples usually stabilize frequency
prob_coin_1000,250,122,0.488,0.5,larger samples usually stabilize frequency
prob_coin_1000,500,238,0.476,0.5,larger samples usually stabilize frequency
prob_coin_1000,1000,481,0.481,0.5,larger samples usually stabilize frequency
prob_biased_1000,10,10,1.0,0.7,different data-generating pattern under bias
prob_biased_1000,25,20,0.8,0.7,different data-generating pattern under bias
prob_biased_1000,50,35,0.7,0.7,different data-generating pattern under bias
prob_biased_1000,100,76,0.76,0.7,different data-generating pattern under bias
prob_biased_1000,250,175,0.7,0.7,different data-generating pattern under bias
prob_biased_1000,500,348,0.696,0.7,different data-generating pattern under bias
prob_biased_1000,1000,698,0.698,0.7,different data-generating pattern under bias
