idea_id,name,primary_field,unifying_role,interpretation_note,transfer_risk_question
idea_quantity,Quantity,arithmetic,"connects counting, magnitude, comparison, and modeling",quantity abstracts from the thing counted or measured,What must remain true for this idea to transfer responsibly across fields?
idea_proportion,Proportion,geometry,"connects number, similarity, scale, music, rate, and modeling",proportion is a bridge between arithmetic and geometry,What must remain true for this idea to transfer responsibly across fields?
idea_proof,Proof,geometry and logic,makes reasoning accountable under assumptions,proof unifies mathematical claims through justified dependency,What must remain true for this idea to transfer responsibly across fields?
idea_algorithm,Algorithm,computation,turns reasoning into repeatable transformation,algorithmic thinking predates computers but becomes formal in computer science,What must remain true for this idea to transfer responsibly across fields?
idea_equation,Equation,algebra,represents relation of equality across contexts,"equations unify constraints, curves, models, and systems",What must remain true for this idea to transfer responsibly across fields?
idea_function,Function,analysis,represents dependence and mapping,"functions connect formulas, curves, processes, algorithms, and random variables",What must remain true for this idea to transfer responsibly across fields?
idea_derivative,Derivative,calculus,"connects slope, velocity, sensitivity, and local change",derivatives unify geometry and change,What must remain true for this idea to transfer responsibly across fields?
idea_integral,Integral,calculus,"connects area, accumulation, expectation, and measure","integration links geometry, analysis, probability, and physics",What must remain true for this idea to transfer responsibly across fields?
idea_group,Group,algebra,studies symmetry and operation structure,"group theory unifies numbers, symmetries, permutations, and transformations",What must remain true for this idea to transfer responsibly across fields?
idea_graph,Graph,discrete mathematics,"represents relations, networks, dependencies, and paths","graphs unify discrete structure, computation, networks, and systems",What must remain true for this idea to transfer responsibly across fields?
idea_probability,Probability,probability and statistics,"disciplines uncertainty, variation, evidence, and risk","probability links counting, measure, inference, data, and decisions",What must remain true for this idea to transfer responsibly across fields?
idea_model,Model,applied mathematics,connects formal structure to target systems,model unity requires explicit assumptions and validation,What must remain true for this idea to transfer responsibly across fields?
idea_category,Category,category theory,"studies objects, morphisms, composition, and preservation",category theory unifies by transformation rather than by reducing all objects to one type,What must remain true for this idea to transfer responsibly across fields?
idea_formal_verification,Formal verification,logic and computation,"connects proof, logic, type theory, and computation",formal verification checks derivations but does not replace human interpretation,What must remain true for this idea to transfer responsibly across fields?
