comparison_id,x,left_form,right_form,left_value,right_value,agrees_on_sample,interpretation
linear_expand_factor,-10,(2 * (x + 3)),((2 * x) + 6),-14.0,-14.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-9,(2 * (x + 3)),((2 * x) + 6),-12.0,-12.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-8,(2 * (x + 3)),((2 * x) + 6),-10.0,-10.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-7,(2 * (x + 3)),((2 * x) + 6),-8.0,-8.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-6,(2 * (x + 3)),((2 * x) + 6),-6.0,-6.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-5,(2 * (x + 3)),((2 * x) + 6),-4.0,-4.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-4,(2 * (x + 3)),((2 * x) + 6),-2.0,-2.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-3,(2 * (x + 3)),((2 * x) + 6),0.0,0.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-2,(2 * (x + 3)),((2 * x) + 6),2.0,2.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,-1,(2 * (x + 3)),((2 * x) + 6),4.0,4.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,0,(2 * (x + 3)),((2 * x) + 6),6.0,6.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,1,(2 * (x + 3)),((2 * x) + 6),8.0,8.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,2,(2 * (x + 3)),((2 * x) + 6),10.0,10.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,3,(2 * (x + 3)),((2 * x) + 6),12.0,12.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,4,(2 * (x + 3)),((2 * x) + 6),14.0,14.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,5,(2 * (x + 3)),((2 * x) + 6),16.0,16.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,6,(2 * (x + 3)),((2 * x) + 6),18.0,18.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,7,(2 * (x + 3)),((2 * x) + 6),20.0,20.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,8,(2 * (x + 3)),((2 * x) + 6),22.0,22.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,9,(2 * (x + 3)),((2 * x) + 6),24.0,24.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
linear_expand_factor,10,(2 * (x + 3)),((2 * x) + 6),26.0,26.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-10,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),56.0,56.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-9,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),42.0,42.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-8,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),30.0,30.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-7,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),20.0,20.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-6,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),12.0,12.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-5,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),6.0,6.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
