n,computed_sum,formula_value,agrees,evidence_status
1,1,1,True,finite agreement; induction proves general rule
2,3,3,True,finite agreement; induction proves general rule
3,6,6,True,finite agreement; induction proves general rule
4,10,10,True,finite agreement; induction proves general rule
5,15,15,True,finite agreement; induction proves general rule
6,21,21,True,finite agreement; induction proves general rule
7,28,28,True,finite agreement; induction proves general rule
8,36,36,True,finite agreement; induction proves general rule
9,45,45,True,finite agreement; induction proves general rule
10,55,55,True,finite agreement; induction proves general rule
11,66,66,True,finite agreement; induction proves general rule
12,78,78,True,finite agreement; induction proves general rule
13,91,91,True,finite agreement; induction proves general rule
14,105,105,True,finite agreement; induction proves general rule
15,120,120,True,finite agreement; induction proves general rule
16,136,136,True,finite agreement; induction proves general rule
17,153,153,True,finite agreement; induction proves general rule
18,171,171,True,finite agreement; induction proves general rule
19,190,190,True,finite agreement; induction proves general rule
20,210,210,True,finite agreement; induction proves general rule
21,231,231,True,finite agreement; induction proves general rule
22,253,253,True,finite agreement; induction proves general rule
23,276,276,True,finite agreement; induction proves general rule
24,300,300,True,finite agreement; induction proves general rule
25,325,325,True,finite agreement; induction proves general rule
26,351,351,True,finite agreement; induction proves general rule
27,378,378,True,finite agreement; induction proves general rule
28,406,406,True,finite agreement; induction proves general rule
29,435,435,True,finite agreement; induction proves general rule
30,465,465,True,finite agreement; induction proves general rule
31,496,496,True,finite agreement; induction proves general rule
32,528,528,True,finite agreement; induction proves general rule
33,561,561,True,finite agreement; induction proves general rule
34,595,595,True,finite agreement; induction proves general rule
35,630,630,True,finite agreement; induction proves general rule
36,666,666,True,finite agreement; induction proves general rule
37,703,703,True,finite agreement; induction proves general rule
38,741,741,True,finite agreement; induction proves general rule
39,780,780,True,finite agreement; induction proves general rule
40,820,820,True,finite agreement; induction proves general rule
41,861,861,True,finite agreement; induction proves general rule
42,903,903,True,finite agreement; induction proves general rule
43,946,946,True,finite agreement; induction proves general rule
44,990,990,True,finite agreement; induction proves general rule
45,1035,1035,True,finite agreement; induction proves general rule
46,1081,1081,True,finite agreement; induction proves general rule
47,1128,1128,True,finite agreement; induction proves general rule
48,1176,1176,True,finite agreement; induction proves general rule
49,1225,1225,True,finite agreement; induction proves general rule
50,1275,1275,True,finite agreement; induction proves general rule
51,1326,1326,True,finite agreement; induction proves general rule
52,1378,1378,True,finite agreement; induction proves general rule
53,1431,1431,True,finite agreement; induction proves general rule
54,1485,1485,True,finite agreement; induction proves general rule
55,1540,1540,True,finite agreement; induction proves general rule
56,1596,1596,True,finite agreement; induction proves general rule
57,1653,1653,True,finite agreement; induction proves general rule
58,1711,1711,True,finite agreement; induction proves general rule
59,1770,1770,True,finite agreement; induction proves general rule
60,1830,1830,True,finite agreement; induction proves general rule
61,1891,1891,True,finite agreement; induction proves general rule
62,1953,1953,True,finite agreement; induction proves general rule
63,2016,2016,True,finite agreement; induction proves general rule
64,2080,2080,True,finite agreement; induction proves general rule
65,2145,2145,True,finite agreement; induction proves general rule
66,2211,2211,True,finite agreement; induction proves general rule
67,2278,2278,True,finite agreement; induction proves general rule
68,2346,2346,True,finite agreement; induction proves general rule
69,2415,2415,True,finite agreement; induction proves general rule
70,2485,2485,True,finite agreement; induction proves general rule
71,2556,2556,True,finite agreement; induction proves general rule
72,2628,2628,True,finite agreement; induction proves general rule
73,2701,2701,True,finite agreement; induction proves general rule
74,2775,2775,True,finite agreement; induction proves general rule
75,2850,2850,True,finite agreement; induction proves general rule
76,2926,2926,True,finite agreement; induction proves general rule
77,3003,3003,True,finite agreement; induction proves general rule
78,3081,3081,True,finite agreement; induction proves general rule
79,3160,3160,True,finite agreement; induction proves general rule
80,3240,3240,True,finite agreement; induction proves general rule
81,3321,3321,True,finite agreement; induction proves general rule
82,3403,3403,True,finite agreement; induction proves general rule
83,3486,3486,True,finite agreement; induction proves general rule
84,3570,3570,True,finite agreement; induction proves general rule
85,3655,3655,True,finite agreement; induction proves general rule
86,3741,3741,True,finite agreement; induction proves general rule
87,3828,3828,True,finite agreement; induction proves general rule
88,3916,3916,True,finite agreement; induction proves general rule
89,4005,4005,True,finite agreement; induction proves general rule
90,4095,4095,True,finite agreement; induction proves general rule
91,4186,4186,True,finite agreement; induction proves general rule
92,4278,4278,True,finite agreement; induction proves general rule
93,4371,4371,True,finite agreement; induction proves general rule
94,4465,4465,True,finite agreement; induction proves general rule
95,4560,4560,True,finite agreement; induction proves general rule
96,4656,4656,True,finite agreement; induction proves general rule
97,4753,4753,True,finite agreement; induction proves general rule
98,4851,4851,True,finite agreement; induction proves general rule
99,4950,4950,True,finite agreement; induction proves general rule
100,5050,5050,True,finite agreement; induction proves general rule
