test_type,index_or_value,computed_value,formula_or_property_value,agrees,interpretation
sum_first_n,1,1,1,True,finite evidence; induction proves the theorem
sum_first_n,2,3,3,True,finite evidence; induction proves the theorem
sum_first_n,3,6,6,True,finite evidence; induction proves the theorem
sum_first_n,4,10,10,True,finite evidence; induction proves the theorem
sum_first_n,5,15,15,True,finite evidence; induction proves the theorem
sum_first_n,6,21,21,True,finite evidence; induction proves the theorem
sum_first_n,7,28,28,True,finite evidence; induction proves the theorem
sum_first_n,8,36,36,True,finite evidence; induction proves the theorem
sum_first_n,9,45,45,True,finite evidence; induction proves the theorem
sum_first_n,10,55,55,True,finite evidence; induction proves the theorem
sum_first_n,11,66,66,True,finite evidence; induction proves the theorem
sum_first_n,12,78,78,True,finite evidence; induction proves the theorem
sum_first_n,13,91,91,True,finite evidence; induction proves the theorem
sum_first_n,14,105,105,True,finite evidence; induction proves the theorem
sum_first_n,15,120,120,True,finite evidence; induction proves the theorem
sum_first_n,16,136,136,True,finite evidence; induction proves the theorem
sum_first_n,17,153,153,True,finite evidence; induction proves the theorem
sum_first_n,18,171,171,True,finite evidence; induction proves the theorem
sum_first_n,19,190,190,True,finite evidence; induction proves the theorem
sum_first_n,20,210,210,True,finite evidence; induction proves the theorem
sum_first_n,21,231,231,True,finite evidence; induction proves the theorem
sum_first_n,22,253,253,True,finite evidence; induction proves the theorem
sum_first_n,23,276,276,True,finite evidence; induction proves the theorem
sum_first_n,24,300,300,True,finite evidence; induction proves the theorem
sum_first_n,25,325,325,True,finite evidence; induction proves the theorem
sum_first_n,26,351,351,True,finite evidence; induction proves the theorem
sum_first_n,27,378,378,True,finite evidence; induction proves the theorem
sum_first_n,28,406,406,True,finite evidence; induction proves the theorem
sum_first_n,29,435,435,True,finite evidence; induction proves the theorem
sum_first_n,30,465,465,True,finite evidence; induction proves the theorem
sum_first_n,31,496,496,True,finite evidence; induction proves the theorem
sum_first_n,32,528,528,True,finite evidence; induction proves the theorem
sum_first_n,33,561,561,True,finite evidence; induction proves the theorem
sum_first_n,34,595,595,True,finite evidence; induction proves the theorem
sum_first_n,35,630,630,True,finite evidence; induction proves the theorem
sum_first_n,36,666,666,True,finite evidence; induction proves the theorem
sum_first_n,37,703,703,True,finite evidence; induction proves the theorem
sum_first_n,38,741,741,True,finite evidence; induction proves the theorem
sum_first_n,39,780,780,True,finite evidence; induction proves the theorem
sum_first_n,40,820,820,True,finite evidence; induction proves the theorem
sum_first_n,41,861,861,True,finite evidence; induction proves the theorem
sum_first_n,42,903,903,True,finite evidence; induction proves the theorem
sum_first_n,43,946,946,True,finite evidence; induction proves the theorem
sum_first_n,44,990,990,True,finite evidence; induction proves the theorem
sum_first_n,45,1035,1035,True,finite evidence; induction proves the theorem
sum_first_n,46,1081,1081,True,finite evidence; induction proves the theorem
sum_first_n,47,1128,1128,True,finite evidence; induction proves the theorem
sum_first_n,48,1176,1176,True,finite evidence; induction proves the theorem
sum_first_n,49,1225,1225,True,finite evidence; induction proves the theorem
sum_first_n,50,1275,1275,True,finite evidence; induction proves the theorem
sum_first_n,51,1326,1326,True,finite evidence; induction proves the theorem
sum_first_n,52,1378,1378,True,finite evidence; induction proves the theorem
sum_first_n,53,1431,1431,True,finite evidence; induction proves the theorem
